Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
,,,,,,,,264,14226,1286,974,1929,220,1193,2121,6202,1929,18067,71910
,,,,,,,,265,13069,1198,908,1798,206,1111,1975,5720,1775,16743,67278
,,,,,,,,266,11943,1131,856,1697,194,1049,1864,5347,1656,15689,63283
,,,,,,,,267,11232,1090,826,1635,186,1011,1796,5118,1584,15045,60610
,,,,,,,,268,10898,1069,810,1604,183,992,1761,5018,1553,14833,59463
,,,,,,,,269,10690,1068,810,1603,183,992,1761,5030,1558,14910,59625
,,,,,,,,270,10964,1105,836,1657,189,1025,1820,5233,1624,15574,62272
,,,,,,,,271,11989,1219,922,1829,209,1130,2012,5880,1836,17223,66550
,,,,,,,,272,14240,1379,1045,2070,236,1278,2278,6703,2098,19256,72988
,,,,,,,,273,15219,1490,1128,2235,256,1380,2460,7239,2264,20571,78614
,,,,,,,,274,15537,1568,1188,2352,268,1453,2587,7597,2372,21350,83207
,,,,,,,,275,15925,1621,1228,2433,278,1503,2677,7877,2462,22064,87654
,,,,,,,,276,13215,1547,1171,2320,265,1434,2549,7419,2303,19182,87643
,,,,,,,,277,13242,1559,1180,2339,267,1445,2570,7494,2328,19264,89446
,,,,,,,,278,13199,1576,1194,2365,271,1461,2600,7599,2364,19661,92059
,,,,,,,,279,13493,1598,1209,2397,274,1481,2635,7729,2408,20566,94833
,,,,,,,,280,14095,1625,1230,2438,279,1506,2683,7946,2484,21184,97562
,,,,,,,,281,14768,1662,1258,2493,284,1539,2746,8222,2581,21728,100021
,,,,,,,,282,15417,1648,1247,2471,282,1525,2724,8245,2594,21715,100117
,,,,,,,,283,14488,1520,1150,2279,261,1408,2511,7569,2372,20116,94718
,,,,,,,,284,13290,1420,1075,2129,243,1317,2342,6975,2173,18077,88207
,,,,,,,,285,13156,1380,1045,2071,236,1280,2275,6740,2092,17554,83981
,,,,,,,,286,13061,1400,1060,2099,240,1298,2306,6800,2107,18129,82768
,,,,,,,,287,13503,1340,1015,2011,229,1243,2208,6458,1999,17457,78594
,,,,,,,,288,14155,1313,994,1970,225,1218,2166,6329,1968,17569,74236
,,,,,,,,289,13328,1244,942,1866,213,1154,2050,6111,1897,16611,69403
,,,,,,,,290,12003,1164,881,1746,199,1080,1917,5649,1750,15426,64491
,,,,,,,,291,11385,1114,844,1672,191,1033,1836,5413,1677,14744,61630
,,,,,,,,292,11014,1089,823,1633,186,1010,1793,5287,1637,14319,59578
,,,,,,,,293,10721,1074,813,1611,183,996,1768,5203,1611,14089,58622
,,,,,,,,294,10816,1067,808,1602,183,991,1760,5196,1611,14091,58723
,,,,,,,,295,11067,1100,833,1650,189,1019,1814,5409,1682,14553,59761
,,,,,,,,296,11691,1182,896,1774,202,1096,1952,5916,1848,15746,63391
,,,,,,,,297,12678,1293,979,1940,222,1198,2136,6515,2038,17269,69722
,,,,,,,,298,13861,1392,1053,2088,239,1290,2299,7064,2212,18658,76399
,,,,,,,,299,14690,1469,1112,2204,251,1361,2426,7470,2339,19559,82363
,,,,,,,,300,12209,1414,1071,2121,242,1310,2330,7092,2203,16705,83976
,,,,,,,,301,12397,1444,1094,2167,247,1339,2382,7268,2257,16981,86881
,,,,,,,,302,12303,1459,1105,2189,250,1353,2406,7352,2286,17149,88685
,,,,,,,,303,12351,1474,1116,2211,252,1367,2431,7430,2310,17398,89823
,,,,,,,,304,12442,1489,1127,2234,255,1380,2456,7518,2339,17794,91053
